# year, month, day, hour, minute, second,,time interval
2004,12,29,7,11,45,,16
2004,12,13,11,35,55,,2
2004,12,11,15,36,51,,11
2004,11,30,8,32,53,,13
2004,11,17,3,13,4,,3
2004,10,14,11,41,1,,4
2004,10,10,11,5,28,,3
2004,10,7,13,14,43,,3
2004,10,4,4,39,52,,6
2004,9,28,8,57,28,,25
2004,9,3,12,7,22,,12
2004,8,22,10,1,33,,24
2004,7,29,12,41,45,,4
2004,7,25,5,29,13,,3
2004,7,22,3,34,31,,6
2004,7,16,0,11,1,,12
2004,7,4,16,58,4,,1
2004,7,3,20,47,22,,43
2004,6,12,7,13,56,,1
2004,6,11,15,41,40,,6
2004,6,5,20,34,10,,1
2004,6,4,13,41,38,,1
2004,6,3,21,59,15,,0
2004,6,3,9,40,12,,16
2004,5,18,11,12,12,,1
2004,5,17,2,8,27,,11
2004,5,6,2,22,49,,13
2004,4,23,0,33,41,,1
2004,4,22,21,19,55,,0
2004,4,22,4,21,49,,16
2004,4,6,3,24,49,,11
2004,3,26,16,35,45,,1
2004,3,25,9,39,26,,27
2004,2,27,1,18,54,,25
2004,2,2,18,52,20,,11
2004,1,22,1,6,43,,5
2004,1,17,20,11,2,,1
2004,1,16,11,17,6,,14
2004,1,2,4,27,59,,24
2003,12,9,22,36,23,,13
2003,11,26,2,0,4,,16
2003,11,10,13,54,6,,9
2003,11,1,14,9,30,,16
2003,10,16,0,47,28,,3
2003,10,13,14,6,59,,6
2003,10,7,0,23,56,,10
2003,9,27,12,59,2,,5
2003,9,22,3,45,43,,1
2003,9,21,7,40,0,,1
2003,9,20,19,4,1,,18
2003,9,2,20,0,46,,7
2003,8,26,22,8,45,,0
2003,8,26,8,44,7,,9
2003,8,17,13,16,7,,16
2003,8,1,4,9,32,,11
2003,7,21,5,11,28,,29
2003,6,22,22,53,28,,1
2003,6,21,14,49,57,,5
2003,6,16,17,17,19,,6
2003,6,10,14,11,7,,14
2003,5,27,23,32,32,,8
2003,5,19,3,38,12,,1
2003,5,18,7,51,40,,3
2003,5,15,6,28,32,,17
2003,4,28,13,6,46,,15
2003,4,13,17,58,41,,6
2003,4,7,9,25,28,,6
2003,4,1,4,40,55,,5
2003,3,27,5,50,26,,30
2003,2,25,23,13,28,,13
2003,2,12,23,45,57,,0
2003,2,12,2,37,54,,6
2003,2,6,17,0,19,,1
2003,2,5,6,16,27,,1
2003,2,4,14,7,8,,5
2003,1,30,6,2,59,,62
2002,11,28,15,41,53,,7
2002,11,21,0,11,17,,9
2002,11,12,21,49,56,,2
2002,11,10,22,13,54,,32
2002,10,9,12,0,35,,5
2002,10,4,10,8,1,,10
2002,9,24,16,48,57,,10
2002,8,14,7,48,32,,
2002,8,11,20,42,53,,
2002,8,10,18,1,51,,
2002,7,25,15,57,32,,
2002,7,22,11,16,2,,
2002,6,29,16,31,55,,
2002,6,15,11,51,18,,
2002,6,13,15,29,38,,
2002,6,2,4,28,20,,
2002,4,3,19,10,21,,
2002,4,2,2,36,28,,
2002,3,28,21,29,56,,
2002,3,19,5,56,10,,
2002,3,19,2,56,52,,
2002,3,18,14,44,57,,
2002,3,9,1,20,24,,
2002,3,3,21,10,55,,
2002,3,1,3,53,59,,
2002,2,9,19,50,26,,
2002,2,1,19,7,54,,
2002,1,20,16,42,4,,
2002,1,3,12,19,37,,
2001,12,14,17,58,4,,
2001,12,12,16,56,13,,
2001,11,26,6,51,52,,
2001,11,13,10,58,48,,
2001,11,11,12,14,2,,
2001,10,27,19,20,12,,
2001,10,14,12,3,11,,
2001,10,12,3,11,53,,
2001,10,6,6,29,38,,
2001,9,25,11,54,6,,
2001,8,26,16,8,52,,
2001,8,18,13,57,43,,
2001,7,26,21,20,19,,
2001,7,23,22,19,11,,
2001,5,6,4,30,29,,
2001,4,27,9,46,18,,
2001,4,23,6,12,35,,
2001,4,14,6,40,36,,
2001,4,13,0,29,57,,
2001,2,9,21,27,55,,
2001,2,4,5,53,38,,
2001,1,28,16,19,18,,
2000,12,15,13,22,59,,
2000,12,15,3,46,27,,
2000,11,28,12,20,13,,
2000,11,13,0,28,1,,
2000,11,6,7,18,57,,
2000,10,11,23,29,55,,
2000,9,24,6,57,19,,
2000,9,23,4,0,45,,
2000,9,19,22,12,38,,
2000,8,25,1,12,25,,
2000,8,13,3,0,32,,
2000,8,1,16,48,27,,
2000,7,31,7,6,34,,
2000,7,19,17,40,25,,
2000,7,9,1,8,45,,
2000,7,7,1,34,20,,
2000,6,27,10,6,51,,
2000,6,23,9,3,42,,
2000,6,22,20,2,11,,
2000,6,18,13,40,2,,
2000,6,14,16,39,18,,
2000,6,4,3,17,39,,
2000,6,3,3,24,49,,
2000,6,2,18,44,16,,
2000,5,29,16,46,28,,
2000,5,6,11,51,52,,
2000,5,3,10,40,9,,
2000,4,21,13,42,20,,
2000,4,4,13,38,15,,
2000,3,28,15,27,17,,
2000,3,19,5,11,50,,
2000,3,6,8,29,18,,
2000,2,18,9,25,59,,
2000,2,17,14,22,7,,
2000,1,18,16,43,42,,
2000,1,18,8,33,58,,
1999,12,16,0,7,22,,
1999,12,11,17,31,52,,
1999,12,10,18,56,50,,
1999,12,3,17,24,45,,
1999,12,1,19,38,15,,
1999,11,30,2,18,53,,
1999,11,15,20,1,28,,
1999,11,7,17,53,6,,
1999,10,26,17,19,42,,
1999,9,8,23,55,35,,
1999,9,8,14,41,53,,
1999,8,16,5,18,20,,
1999,8,6,3,22,37,,
1999,8,3,18,25,49,,
1999,7,10,8,11,42,,
1999,7,7,4,14,41,,
1999,6,25,6,27,41,,
1999,5,23,7,2,10,,27
1999,4,26,11,33,6,,0
1999,4,26,9,49,26,,26
1999,3,31,23,54,35,,3
1999,3,28,15,37,1,,26
1999,3,2,22,23,25,,12
1999,2,18,23,15,25,,17
1999,2,1,14,24,9,,12
1999,1,19,2,32,21,,5
1999,1,14,8,6,5,,2
1999,1,12,19,24,52,,1
1999,1,11,5,18,17,,9
1999,1,2,18,25,51,,11
1998,12,22,9,24,0,,29
1998,11,23,20,20,14,,22
1998,11,11,16,46,18,,39
1998,10,3,12,58,50,,29
1998,9,4,9,16,11,,3
1998,9,1,11,15,4,,1
1998,8,30,0,20,12,,22
1998,8,8,12,55,22,,12
1998,7,28,14,16,53,,127
1998,3,24,9,8,14,,2
1998,3,22,22,25,37,,73
1998,1,8,16,10,21,,4
1998,1,4,23,0,27,,7
1997,12,28,3,58,18,,19
1997,12,9,8,15,55,,32
1997,11,7,7,46,55,,29
1997,10,9,18,47,15,,8
1997,10,1,14,26,43,,1
1997,9,30,12,31,18,,25
1997,9,5,11,41,54,,16
1997,8,20,17,16,43,,5
1997,8,15,1,5,22,,16
1997,7,30,3,1,51,,26
1997,7,4,12,22,33,,43
1997,5,22,8,30,15,,25
1997,4,27,22,34,21,,68
1997,2,19,4,31,35,,4
1997,2,15,15,23,35,,9
1997,2,6,18,28,34,,9
1997,1,28,17,49,49,,5
1997,1,23,10,3,27,,1
1997,1,22,21,13,16,,18
1997,1,4,6,46,39,,1
1997,1,3,15,8,7,,17
1996,12,17,4,16,18,,7
1996,12,10,6,9,32,,6
1996,12,4,17,0,34,,3
1996,12,1,13,19,35,,8
1996,11,22,10,6,17,,16
1996,11,8,16,2,13,,8
1996,10,30,12,48,19,,2
1996,10,28,4,46,21,,5
1996,10,23,8,28,6,,4
1996,10,19,19,1,8,,12
1996,10,7,17,43,44,,2
1996,10,5,19,21,2,,49
1996,8,17,15,46,8,,2
1996,8,15,16,7,51,,6
1996,8,9,18,14,56,,2
1996,8,7,3,16,3,,1
1996,8,6,4,50,32,,1
1996,8,5,19,27,52,,0
1996,8,5,15,19,30,,19
1996,7,17,3,16,7,,5
1996,7,12,14,4,45,,17
1996,6,25,11,22,40,,48
1996,5,8,1,2,5,,7
1996,5,1,13,19,25,,31
1996,3,31,0,53,57,,1
1996,3,30,4,3,32,,1
1996,3,29,20,30,54,,4
1996,3,25,17,0,41,,12
1996,3,13,8,31,1,,26
1996,2,16,7,3,14,,1
1996,2,15,2,38,5,,28
1996,1,18,17,10,49,,3
1996,1,15,13,44,23,,19
1995,12,27,12,55,1,,5
1995,12,22,13,26,29,,13
1995,12,9,19,54,26,,14
1995,11,25,5,29,31,,12
1995,11,13,3,10,47,,43
1995,10,1,2,42,1,,22
1995,9,9,7,38,38,,15
1995,8,24,21,54,35,,7
1995,8,17,16,39,2,,11
1995,8,6,4,38,9,,1
1995,8,5,17,14,10,,25
1995,7,11,18,38,41,,2
1995,7,9,18,20,9,,2
1995,7,7,17,33,37,,28
1995,6,9,9,28,38,,68
1995,4,2,12,32,38,,45
1995,2,16,13,5,47,,29
1995,1,18,10,17,26,,8
1995,1,10,21,8,41,,8
1995,1,2,20,41,38,,
